app_id,name,release_date,price,metacritic_url,categories,genres,tags
1569580,Blue Prince,2025-04-10,19.79,https://www.metacritic.com/game/pc/blue-prince?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Indie,Strategy","Puzzle,Exploration,Mystery,Investigation,Singleplayer,Story Rich,Rogue-lite,Indie,First-Person,Adventure,Atmospheric,Escape Room,3D,Simulation,Nonlinear,Strategy,Rogue-like,Level Editor,Stylized,Replay Value"
957960,Inkulinati,2024-02-22,7.49,https://www.metacritic.com/game/pc/inkulinati?ftag=MCD-06-10aaa1f,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together,Family Sharing","Indie,Strategy","Medieval,Turn-Based Strategy,Turn-Based Tactics,Rogue-lite,Turn-Based,Funny,Deckbuilding,Dark Humor,Hand-drawn,2D,PvP,Stylized,Strategy RPG,PvE,Historical,Turn-Based Combat,Strategy,Multiplayer,Singleplayer,Local Multiplayer"
2243670,Return to Grace,2023-05-30,8.99,https://www.metacritic.com/game/pc/return-to-grace?ftag=MCD-06-10aaa1f,"Single-player,Full controller support,Family Sharing",Adventure,"Walking Simulator,3D,First-Person,Funny,Choices Matter,Dynamic Narration,Multiple Endings,Story Rich,Sci-fi,Space,Artificial Intelligence,Adventure,Mystery,Futuristic,Retro,Singleplayer,Narrative,Female Protagonist"
1036890,Shadow Warrior 3: Definitive Edition,2022-03-01,11.99,https://www.metacritic.com/game/pc/shadow-warrior-3?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Action,Adventure","FPS,Action,Adventure,Shooter,Arena Shooter,Beautiful,First-Person,Cinematic,Colorful,Gore,Atmospheric,Realistic,Dark,Demons,Dark Fantasy,Destruction,Dragons,Fantasy,Funny,Ninja"
1793090,Blockbuster Inc.,2024-06-06,4.99,https://www.metacritic.com/game/pc/blockbuster-inc?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud,Includes level editor,Family Sharing","Casual,Simulation","Simulation,Sandbox,Building,Base-Building,Level Editor,Character Customization,Immersive Sim,Video Production,Moddable,Management,Movie,3D,Historical,Economy,Cartoony,Casual,Time Management,Stylized,Resource Management,Singleplayer"
1170570,The Drifter,2025-07-17,16.99,https://www.metacritic.com/game/pc/the-drifter?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Mouse Only Option,Playable without Timed Input,Save Anytime,Stereo Sound,Steam Cloud,Family Sharing","Adventure,Indie",
1782330,Green Hell VR,2022-06-09,9.99,https://www.metacritic.com/game/pc/green-hell-vr?ftag=MCD-06-10aaa1f,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Action,Adventure,Indie,Simulation","VR,Survival,Adventure,Action,Simulation,Exploration,Realistic,Action-Adventure,Immersive Sim,Hunting,Crafting,Interactive Fiction,Sandbox,Open World,Time Management,Singleplayer,Nature,Atmospheric,Resource Management,Modern"
1575470,Frogun,2022-08-02,5.99,https://www.metacritic.com/game/pc/frogun?ftag=MCD-06-10aaa1f,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together,Family Sharing","Action,Adventure,Indie","Cute,3D Platformer,Female Protagonist,Platformer,3D,Action,Third Person,Cartoony,Colorful,Pixel Graphics,Casual,Family Friendly,Adventure,Physics,Retro,Cartoon,Funny,Singleplayer,Indie,Action-Adventure"
1114290,Windjammers 2,2022-01-20,4.99,https://www.metacritic.com/game/pc/windjammers-2?ftag=MCD-06-10aaa1f,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Remote Play Together,Family Sharing","Indie,Sports,Strategy","Sports,PvP,Arcade,Multiplayer,Fast-Paced,Strategy,2D,Hand-drawn,Retro,Family Friendly,1990's,Local Multiplayer,Cult Classic,Singleplayer,Sequel,e-sports,Addictive,Shooter,Difficult,Indie"
1084600,My Time at Sandrock,2023-11-02,17.99,https://www.metacritic.com/game/pc/my-time-at-sandrock?ftag=MCD-06-10aaa1f,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Casual,Indie,RPG,Simulation","Life Sim,Building,Farming Sim,Multiplayer,Sandbox,Crafting,RPG,Dating Sim,Open World,Character Customization,Mining,Adventure,Post-apocalyptic,Simulation,Casual,Singleplayer,Female Protagonist,Cartoony,Indie,LGBTQ+"
1822240,Stars In The Trash,2024-12-09,7.19,https://www.metacritic.com/game/pc/stars-in-the-trash?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Adventure,Indie","Adventure,Atmospheric,Cute,Hand-drawn,Cats,Family Friendly,Cartoon,Singleplayer,2D,Story Rich,Platformer,Exploration,Linear,Indie,Dog,Casual,Emotional,Cinematic,Puzzle,Wholesome"
1345860,Grapple Dog,2022-02-10,3.74,https://www.metacritic.com/game/pc/grapple-dog?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Family Sharing","Action,Adventure,Indie","2D Platformer,Platformer,Action,2D,Cute,Funny,Pixel Graphics,Adventure,Dog,Cartoony,Relaxing,Colorful,Indie,Family Friendly,Stylized,Retro,Singleplayer,Side Scroller,Difficult"
1050370,LUNARK,2023-03-30,19.99,https://www.metacritic.com/game/pc/lunark?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,Indie","Indie,Pixel Graphics,Action,Adventure,Platformer,2D,Colorful,Retro,Cyberpunk,Sci-fi,Singleplayer,Action-Adventure,Exploration,Side Scroller,2D Platformer,Cinematic,Atmospheric,Dystopian,1990's,Aliens"
597180,Old World,2022-05-18,9.99,https://www.metacritic.com/game/pc/old-world?ftag=MCD-06-10aaa1f,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Mouse Only Option,Playable without Timed Input,Save Anytime,Steam Cloud,Includes level editor,Remote Play Together,Family Sharing","RPG,Simulation,Strategy","Strategy,Simulation,4X,Grand Strategy,Turn-Based Strategy,Historical,War,Multiplayer,Tactical,Turn-Based,Sandbox,Management,Moddable,Co-op,Singleplayer,Replay Value,Economy,Diplomacy,Military,Hex Grid"
1924180,Phantom Spark,2024-08-15,8.99,https://www.metacritic.com/game/pc/phantom-spark?ftag=MCD-06-10aaa1f,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Remote Play Together,Family Sharing","Casual,Indie,Racing,Sports","Sports,PvP,Flight,Racing,Atmospheric,Driving,Competitive,Arcade,3D,e-sports,Split Screen,Relaxing,Controller,Casual,Colorful,Stylized,Score Attack,Family Friendly,Sci-fi,Physics"
1970580,Backpack Hero,2023-11-14,9.99,https://www.metacritic.com/game/pc/backpack-hero?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Family Sharing","Adventure,Casual,Indie,RPG,Strategy","Replay Value,Turn-Based,Inventory Management,Roguelike Deckbuilder,Deckbuilding,2D,Fantasy,Rogue-like,Strategy,Building,Choices Matter,Turn-Based Strategy,Casual,Rogue-lite,Procedural Generation,Singleplayer,Card Battler,Controller,Female Protagonist,Moddable"
2076580,Pepper Grinder,2024-03-28,5.99,https://www.metacritic.com/game/pc/pepper-grinder?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Indie","2D Platformer,Difficult,Platformer,Arcade,Action-Adventure,Female Protagonist,2D,Cute,Funny,Controller,Action,Pixel Graphics,Colorful,Retro,Combat,Singleplayer,Indie,Remake"
